| ئاخفتنخوەش | وەسف (هەڤالناڤ) | ئەو کەسێ کو پەیڤێن وی وەک هنگیڤی نە. |
| ئاغلەویک | کەلوپەل | زکێ من یێ پانەو ل سەر ئاگری دڕینم دا کو خوارنێن تە بۆ تە بقەلینم . |
| ئاخین | هەست | دەنگەکێ کو ژ دلەکێ تژی خەم دەردکەڤیت دەمێ مرۆڤ هەست ب ئێشان یان زەحمەتیێ دکەت. |
| ئارخاڤک | خوارن |جۆرەکێ خوارنێ یە کو کەرەستەیێ وێ یێ سەرەکی ئارە و پێ دھێتە دروستکرن. |
| ئارمانجدار | وەسف (هەڤالناڤ) | ئەو کەسێ کو دزانیت بۆچی دژیت و کار دکەت، و پلانەک یا د مێشکێ وی دا هەی. 
| ئازرین | کار (چاوگ) | دەمێ تو زویکا توڕە دبی ژ ئاخفتن یان کریارێن کەسەکێ و دلێ تە نائارام دبیت. |
| ھاژۆتن | کار (چاوگ) | بکارهینانا ترۆمبێلێ یان ھەر ئامیرەکێ دی یێ ھاتنوچوونێ. |
| ئاستەنگ | پەیڤێن گشتی | تشتەک یان ئاریشەیەکە دکەڤیتە د ڕێکا تە دا و ناهێلیت تو ب ساناهی بگەهیە مرادێ. |
| ئاسێ | وەسف (هەڤالناڤ) | جهەکێ بلند و ب زەحمەتە، دەمێ تو دچیە وێرێ نەشێی ب ساناهی بهێیە خوارێ. |
| ئاشکرن | کار (چاوگ) | دەمێ تو دوو کەسێن عێجزبووی پێکڤە ئاشت دکەی و کینا وان ژناڤ دبەی. |
| ئاشکرا | وەسف (هەڤالناڤ) | تشتێ کو ل بەر چاڤانە و یێ ڤەشارتی نینە، هەمی کەس دبینن و دزانن. |
| ئاشۆپ | پەیڤێن گشتی | دەمێ تو د ناڤ هزرێن خوە دا تشتان دروست دکەی کو د ڕاستیێ دا نینن. |
| ئاڤا | وەسف (هەڤالناڤ) | دەمێ خانییەک دهێتە چێکرن یان دەمێ ڕۆژ دچیتە د بن چیا دا. |
| ئاڤاکەر | پیشە | ئەو هۆستا و کرێکارێ کو خانی و باژێڕان دروست دکەت ب ئاخ و بەران. |
| ئاڤتەزینک | ئامیرە | ئامیرەکێ کارەبایی یە، د ناڤ مالاندایە دا کو ئاڤا سار بدەتە مرۆڤان. |
| ئاڤدەل | ناڤێ مرۆڤان | ناڤەکێ کەڤنارێ کوردی یە بۆ کوڕان دهێتە دانان. |
| ئاڤڕێژ | جھ | ئەو کونا د حەمام و مەتبەخان دا کو ئاڤا پیس و بکارئینای دناڤ ڕا دەرباس دبیت. |
| ئاڤس | وەسف (هەڤالناڤ) | گیانەوەرێ مێ یە و زکێ وێ یێ مەزن بووی. |
| ئاڤک | خوارن | ئاڤا گۆشتی یان شۆربە یە، بۆ سەر برنجی دهێتە بکارئینان و تژی تامە. |
| ئاڤێتن | کار (چاوگ) | دەمێ تو تشتەکی ب هێز ژ دەستێ خوە دویر دئێخی یان د فڕێنی. |
| ئاڤێستا | ئایین | پەرتووکا پیرۆزا زەردەشتییانە. |
| ئاڤیڤان | پیشە | ئەو کار و بزاڤەیە دەمێ کچەک دچیتە سەر کانیێ و ئاڤێ دکێشیت. |
| ئاقار | جھ | دەڤەر و ڕووبەرەکێ ئەردی یە، خەلک لێ دژین یان کار تێدا دکەن. |
| ئاکنجی | وەسف (هەڤالناڤ) | ئەو کەسێ کو ل جهەکێ دژیت و بوویە خەلکێ وێرێ. |
| ئاگرپەرێس | ناڤێ مرۆڤان | کەسێ کو ئاگری پیرۆز دکەت و بۆ دپەرێسیت. |
| ئاگەھی | پەیوەندی | زانیاری یان نووچەیەکە کو دهێتە بەلاڤکرن دا خەلک پێ بزانن. |
| ئال | پەیڤێن گشتی | ئالی و ڕەخە، یان ڕەنگەکێ سۆرێ ڤەکری یە. |
| ئالدار | ناڤێ مرۆڤان | خودانێ ئالایە، کەسەکێ بلند و سەردارە. |
| ئالیستن | کار (چاوگ) | دەمێ مرۆڤ یان گیانەوەر ئەزمانێ خوە ب تشتەکی ددەت دا تاما وێ بکەت. |
| ئالاندن | کار (چاوگ) | دەمێ تو تشتەکی ب تشتەکێ دی ڤە دپێچی، وەک دەزی ب تەشیێ ڤە. |
| ئالزی | وەسف (هەڤالناڤ) | تشتێ تێکچووی و ئالۆزبوویە کو پێکڤە ئالایە و گرێدایە. |
| ئالف | خوارن | ئەو خوارنە یا کو ل زڤستانێ ددەنە پەز و دەواران. |
| ئالۆز | وەسف (هەڤالناڤ) | ئاریشەیەک یان تشتەکێ کو گەلەک تێکەل بووی و ب زەحمەت چارەسەر بیت. |
| ئالۆزی | پەیڤێن گشتی | دەمێ بارودۆخ تێک دچیت و ئارامی نامینیت ل جهەکی. |
| ئالیک | خوارن | ئەو خوارنەیە کو ددەنە ئاژەڵ و تەرش و کەوالی . |
| ئاخ | سرۆشت | هەمی تشت ل سەر پشتا من شین دبن و دژین، ل دوماهیێ هەمی دزڤڕنە دەف من. |
| ئار | سرۆشت | ئەگەر برسی بیت هەمی تشتان دخۆت، ئەگەر تە ئاڤ دایێ دێ مریت. |
| ئارمانج | پەیڤێن گشتی | تو دژی دا بگەهیە من، ئەز ل دوماهییا ڕێکێ مە. |
| ئازادکرن | کار (چاوگ) | دانا ژیانەکا نوویە ب بالندەیەکێ یان مرۆڤەکێ گرتی. |
| ئەسمان | سرۆشت | خانییەکێ مەزن و بێ ستوینە، ب ڕۆژێ شینە و ب شەڤێ یێ پڕی چرایە. |
| ئاڤاھی | جھ | ژ ئاخ و بەر و چیمەنتۆیێ چێدبیت، مرۆڤ تێدا دژین یان کار دکەن. |
| ئاڤدەست | جھ | بچویکترین ژوورا مالێ یە، کو مرۆڤ خوە تێدا پاقژ دکەت. |
| ئاڤڕابوون | کار (چاوگ) | بۆشبوونا ئاڤێ، رابوونا لافاوان. |
| ئاقل | ئەندامێ لەشی | د ناڤ سەرێ مرۆڤیدا یە، بێی وی مرۆڤ تشتان نزانیت ناکەت. |
| ئاگردانک | کەلوپەل | جهێ من د ناڤ مالێ دایە، زڤستانان خەلک ل دۆر من دکۆم دبن دا گەرم ببن. |
| ئالا | کەلوپەل | پارچە قوماشەکێ ڕەنگینە، نیشانا سەربەخۆیی و ناسنامەیا وەڵاتانە |
| ئالاڤ | کەلوپەل | ئەز هاریکارییا تە دکەم بۆ چێکرنا تشتان، وەک چەکۆچ و بڤری. |
| ئامەد | باژێڕ | باژێڕەکێ مەزن یێ باکوورێ کوردستانێیە، دیوارێن وێ یێن ڕەش و دێرینن. |
| ئامیر | ئامیرە | ئامرازەکێ کارەبایی یان ئاسنی یە، کارێن ب زەحمەت سڤک دکەت. |
| ئەنیشک | ئەندامێ لەشی | پرا د ناڤبەرا مل و دەستی دا، بێی ئەو تو نەشێی دەستێ خۆ بچەمێنی. |
| ستری | ڕووەک | دگەل گولێ شین دبم، یێ تیژم و دەستێ تە دبریندار کەم. |
| ستێر | سرۆشت | ب شەڤێ وەک ئەڵماسان، ب ڕۆژێ ژی بەرزە دبن. |
| ئۆدە | جھ | پارچەیەکا مالێ یە، چوار دیوار و دەرگەهەک هەنە. |
| ئەرد | سرۆشت | ئەز د بن پێیاندامە و مرۆڤ ل سەر من دژین. |
| عەور | سرۆشت | پارچەیێن سپی یان ڕەشن ل ئاسمانی. |
| با | سرۆشت | ئەز دێ هێم و چم، تو من نابینی لێ تو هەست ب من دکەی. |
| بالەفڕ | ئامیرە | بالندەیەکێ ئاسنی یە، مرۆڤان دکەتە د زکێ خوە دا. |
| بالیفک | کەلوپەل | دکەڤیتە بن سەرێ تە، خەوێ ل تە خۆش دکەت. |
| باھۆز | سرۆشت | بایەکێ گەلەک بهێزە، توزا تاری دگەل خوە دئینیت. |
| باوەری | هەست | تشتەکێ نەدیتتی یە د دلی دا. |
| بچویک | وەسف (هەڤالناڤ) | تشتێ کێم قەبارە یان زارۆکێ کو هێشتا مەزن نەبووی. |
| برازا | خێزان | خوینا تە یە، لێ نە زارۆکێ تە یە. |
| بلبل | گیانەوەر | دەنگخۆشترین بالندەیە، حەز ژ گولان دکەت |
| بلویر | کەلوپەل | پارچە دارەکا کون کونە، شڤان  ئاوازێن خەمگین دژەنیت. |
| بلەز | وەسف (هەڤالناڤ) | ئەو کەسێ حەز ژ چاڤەڕێکرنێ نەکەت. |
| بناغە | پێکهاتە | بنێ خانیێ تە یە، ئەگەر ئەز نە بهێز بم خانی دێ ب سەر تە دا هەڕفیت. |
| بندەست | وەسف (هەڤالناڤ) | ئەوە یێ ئازادی نەبیت، فەرمان ل سەر دهێتە کرن و دەسەڵات نینە. |
| بنعەرد | جھ | دکەڤیتە بن پێیێن تە، تاریە. |
| بنگەھ | جھ | جهێ سەرەکییە کو کار لێ دهێتە کرن، یان دەستپێکا تشتەکییە. |
| بنەجھ | پەیڤێن گشتی | کەسێ کو مالا وی ل جهەکێ بیت و ژ وێرێ نەچیتە چ جهێن دی. |
| بنەفشی | ڕەنگ | ڕەنگەکێ جوانە، ژ تێکەلکرنا سۆر و شینی چێدبیت. |
| بنەمال | خێزان | باب و باپیر و زارۆکێن وان پێکڤە. |
| بنیات | پێکهاتە | ڕەھ و ڕیشالێن تشتانە، ئەگەر باش بیت، دوماهی ژی دێ باش بیت. |
| بێھن | هەست | ب چاڤان ناهێتە دیتن لێ ب دفنێ دهێتە هەستکرن. |
| بێھنتەنگ | وەسف (هەڤالناڤ) | کەسێ کو زویکا بێزار دبیت و حەزا چاڤەڕێکرنێ نینە. |
| بھۆست | پیڤەر | پیڤەرەکێ کەڤنە ب دەستی، د ناڤبەرا تبلێن تە یێن ڤەکریدا دهێتە پیڤان. |
| بھەشت | جھ | جهێ خێرخوازانە ل ئاخرەتێ، هەمی تشتێن جوان و خۆش تێدا هەنە. |
| بۆڕی | کەلوپەل | درێژە و د ناڤ دا یا ڤالایە، ئاڤ یان غاز د ناڤ دا دەرباس دبن. |
| بۆرین | کار (چاوگ) | دەرباسبوونا دەمی یان کەسەکییە د ڕێکەکێ ڕا و نەمانا وی ل وی جهی. |
| بەتاڵ | وەسف (هەڤالناڤ) | کەسێ کو کار نینە بکەت، یان ئامانێ کو چ د ناڤ دا نەبیت. |
| بەتاڵی | ئابووری | دەمێ تو ل مال دڕوینی و چ شول نینن تو بکەی کو پارەی پێ پەیدا بکەی. |
| بەتراپێر | دەم | ڕۆژا بەری دوو ڕۆژانە، بوویە بۆری و چ جاران نازڤڕیت. |
| بەتەنی | کەلوپەل | پارچەکا ستویرە ژ قوماشی یان هریێ، کو د دەمێ نڤستنێ دا بۆ گەرمبوونێ ل سەر خوە داددەین . |
| بەخت | پەیڤێن گشتی | هندەک دبێژن یێ ڕەشە و هندەک دبێژن یێ سپییە، یێ وی باش بیت هەرتم دێ سەرکەڤیت. |
| بەخشیش | ئابووری | پارەیەکێ زێدەیە تو ددەیە کرێکاری. |
